,index,ln_abs_c_interface_mean,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,BCUT2D_MRLOW,PEOE_VSA1,PEOE_VSA7,SMR_VSA1,TPSA,EState_VSA1,EState_VSA10,EState_VSA5,EState_VSA8,VSA_EState6,NHOHCount,NOCount,MolLogP,fr_NH2
66,67,4.991501606,10.75782407,-1.377314815,10.75782407,-0.155590333,14.79051451,0.0,23.85733746,81.7,17.98045141,14.38361155,0.0,9.473725908,-1.377314815,1,6,-1.553,0
67,68,4.712310149,10.60361111,-1.241319444,10.60361111,-0.166958111,15.16017895,0.0,14.63792753,58.56,11.5703561,4.794537184,7.109797541,10.05365156,0.0,2,4,-1.5063,0
68,69,5.196487848,10.65861489,-1.678287037,10.65861489,-0.158223344,20.31392078,0.0,24.16932767,98.85,24.08441779,9.589074368,0.0,9.473725908,-1.400509259,3,6,-1.9794,1
69,70,5.179569548,10.65861489,-1.678287037,10.65861489,-0.158223344,20.31392078,0.0,24.16932767,98.85,24.08441779,9.589074368,0.0,9.473725908,-1.400509259,3,6,-1.9794,1
70,71,4.909645076,9.528148148,-1.052962963,9.528148148,-0.279832505,24.79330809,0.0,24.79330809,79.15,24.60192589,10.21305479,7.109797541,0.0,0.0,3,5,-1.2921,0
71,72,4.938041866,9.528148148,-1.052962963,9.528148148,-0.279832505,24.79330809,0.0,24.79330809,79.15,24.60192589,10.21305479,7.109797541,0.0,0.0,3,5,-1.2921,0
72,73,4.940085514,9.528148148,-1.052962963,9.528148148,-0.279832505,24.79330809,0.0,24.79330809,79.15,24.60192589,10.21305479,7.109797541,0.0,0.0,3,5,-1.2921,0
73,74,4.700114815,10.95784061,-1.159583333,10.95784061,-0.246717445,19.6867807,6.9237372,24.48131788,75.99,24.41586555,15.00759197,14.03353474,0.0,0.0,2,5,-1.0839,0
74,75,5.359638107,10.81439815,-3.52337963,10.81439815,0.59652619,0.0,0.0,8.417796984,99.86,21.08626343,18.00687135,0.0,0.0,0.816203704,2,6,-1.5333,0
75,76,5.051415087,10.89289352,-1.136643519,10.89289352,-0.131074081,20.63637079,13.8474744,20.11411937,89.79,17.55007137,4.794537184,13.8474744,5.316788604,0.0,4,5,-1.7733,0
76,77,4.189966046,10.5750463,-1.001157407,10.5750463,-0.128368627,15.52984339,13.8474744,15.00759197,69.56,18.1151125,4.794537184,6.9237372,5.316788604,0.0,3,4,-1.1358,0
77,78,5.087211956,9.916666667,-1.787222222,9.916666667,-0.18538588,25.16297253,20.7712116,25.16297253,90.15,29.70006113,15.31958218,20.7712116,0.0,0.0,4,5,-1.412,0
78,79,5.258427051,11.18481481,-0.58625,11.18481481,0.480755869,10.09050592,0.0,5.106527395,90.88,11.24901029,14.69560176,17.8116152,9.967957042,0.0,3,6,-0.7395,0
79,80,4.129077278,10.77325728,-0.618132559,10.77325728,-0.138417036,15.37044016,6.420821623,14.32593732,67.43,11.81435946,9.589074368,7.047671983,10.63357721,0.0,2,5,-1.1149,0
80,81,4.095594893,10.67018896,-0.637867536,10.67018896,-0.138496902,15.37044016,0.0,14.32593732,67.43,11.81435946,9.589074368,14.15746952,15.37044016,0.0,2,5,-1.505,0
81,82,4.837442923,10.29514952,-0.475470522,10.29514952,0.035705359,15.78731903,0.0,9.531400138,67.59,6.031114512,4.794537184,0.0,10.21669833,-0.475470522,3,5,-1.0556,1
