,index,ln_abs_c_interface_mean,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,BCUT2D_MWHI,BCUT2D_MRLOW,Chi1v,PEOE_VSA1,PEOE_VSA6,PEOE_VSA7,PEOE_VSA9,SMR_VSA1,SlogP_VSA1,TPSA,EState_VSA1,EState_VSA10,EState_VSA5,EState_VSA8,VSA_EState3,VSA_EState6,NHOHCount,NOCount,NumHeteroatoms,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_NH2
39,40,4.944452747,9.72962963,-1.481481481,9.72962963,16.36231088,-0.124642341,2.587649199,20.11411937,0.0,6.9237372,6.103966388,20.11411937,0.0,77.76,18.31189916,4.794537184,6.9237372,0.0,25.73601852,0.0,3,4,4,-1.7121,29.7584,3,3,0
40,41,4.970603197,9.72962963,-1.481481481,9.72962963,16.36231088,-0.124642341,2.587649199,20.11411937,0.0,6.9237372,6.103966388,20.11411937,0.0,77.76,18.31189916,4.794537184,6.9237372,0.0,25.73601852,0.0,3,4,4,-1.7121,29.7584,3,3,0
41,42,4.885877583,9.536296296,-1.222222222,9.536296296,16.33226979,-0.118917718,1.996116976,15.00759197,0.0,6.9237372,6.103966388,15.00759197,0.0,57.53,12.20793278,4.794537184,6.9237372,0.0,16.65675926,0.0,2,3,3,-1.073,23.7516,2,2,0
42,43,4.86245562,9.536296296,-1.222222222,9.536296296,16.33226979,-0.118917718,1.996116976,15.00759197,0.0,6.9237372,6.103966388,15.00759197,0.0,57.53,12.20793278,4.794537184,6.9237372,0.0,16.65675926,0.0,2,3,3,-1.073,23.7516,2,2,0
43,44,4.947305021,9.72962963,-1.481481481,9.72962963,16.36231088,-0.124642341,2.587649199,20.11411937,0.0,6.9237372,6.103966388,20.11411937,0.0,77.76,18.31189916,4.794537184,6.9237372,0.0,25.73601852,0.0,3,4,4,-1.7121,29.7584,3,3,0
44,45,4.882186581,9.72962963,-1.481481481,9.72962963,16.36231088,-0.124642341,2.587649199,20.11411937,0.0,6.9237372,6.103966388,20.11411937,0.0,77.76,18.31189916,4.794537184,6.9237372,0.0,25.73601852,0.0,3,4,4,-1.7121,29.7584,3,3,0
45,46,5.1512914,10.36779856,-2.105509259,10.36779856,16.67133865,-0.173217264,2.714982484,19.88823196,0.0,0.0,0.0,29.47730633,11.79395094,145.1,24.14654335,9.589074368,0.0,21.46912811,17.45361111,0.0,6,8,8,-3.458,32.5724,2,2,2
46,47,5.501267494,11.2262037,-0.707173091,11.2262037,16.15977282,0.095214623,3.859772676,10.30076712,6.076020107,0.0,0.0,4.794537184,16.5657989,94.82,17.15619002,14.38361155,6.076020107,16.87970281,2.423148148,1.013712207,3,6,6,-1.021,50.2136,0,0,0
47,48,4.938508103,8.59837963,-1.090277778,8.59837963,16.35208362,0.00963755,2.315788793,15.31958218,6.076020107,0.0,12.71084835,15.31958218,0.0,60.69,18.81481474,0.0,6.076020107,6.578935684,25.33208333,0.0,3,3,3,-1.1135,29.2964,3,3,0
48,49,5.858864023,10.16082483,-0.206851852,10.16082483,16.43511463,-0.118197147,2.373512859,16.25770911,5.155712727,0.0,6.544756406,10.00179021,11.05045608,87.71,0.0,4.794537184,6.9237372,10.47250133,12.94094671,0.0,4,5,5,-1.1311,32.0926,0,0,1
49,50,5.106300202,9.196697531,-1.320925926,9.196697531,32.11702846,-0.204725439,4.078407249,25.16297253,0.0,0.0,6.606881965,25.16297253,0.0,90.15,36.45874589,10.21305479,0.0,12.62878915,36.18330247,0.0,4,5,6,-2.2839,42.7532,4,4,0
50,51,5.263325858,10.12017668,-1.372685185,10.12017668,16.49592349,-0.13145528,3.120526647,24.85098232,0.0,0.0,6.606881965,24.85098232,0.0,86.99,24.91878113,4.794537184,7.109797541,4.736862954,26.19502079,0.0,3,5,5,-2.0856,35.9604,3,3,0
51,52,4.938782108,10.28726379,-2.023518519,10.28726379,16.38420112,-0.147019537,3.383305567,30.95431424,0.0,0.0,0.0,30.01518395,5.733667477,141.08,30.32304528,9.589074368,0.0,5.733667477,35.32935185,0.0,6,7,7,-3.8858,39.2856,4,4,1
52,53,5.33471716,6.299907407,-0.666666667,6.299907407,15.47350292,0.435060452,1.636506226,0.0,0.0,0.0,0.0,0.0,22.53692333,112.31,6.289710395,0.0,0.0,15.96583292,2.902777778,0.0,7,6,6,-1.77243,23.5819,0,0,2
53,54,5.126943536,10.02142621,-1.615555556,10.02142621,16.37496902,-0.117790665,3.401441653,30.95431424,0.0,0.0,12.64872279,25.22064676,5.733667477,124.01,30.96062196,4.794537184,0.0,0.0,35.16729545,-1.262777778,6,6,6,-3.4124,39.1456,4,4,1
54,55,4.873956222,9.72962963,-1.481481481,9.72962963,16.36231088,-0.124642341,2.587649199,20.11411937,0.0,6.9237372,6.103966388,20.11411937,0.0,77.76,18.31189916,4.794537184,6.9237372,0.0,25.73601852,0.0,3,4,4,-1.7121,29.7584,3,3,0
55,56,5.24313978,10.53166667,-0.449074074,10.53166667,16.16350125,0.227012421,2.346721999,16.36724469,0.0,0.0,0.0,4.794537184,11.46733495,84.71,6.031114512,4.794537184,4.899909731,4.992404733,0.0,-0.449074074,4,5,5,-1.0586,34.8928,0,0,2
56,57,5.140218967,9.196697531,-1.320925926,9.196697531,32.11702846,-0.204725439,4.078407249,25.16297253,0.0,0.0,6.606881965,25.16297253,0.0,90.15,36.45874589,10.21305479,0.0,12.62878915,36.18330247,0.0,4,5,6,-2.2839,42.7532,4,4,0
57,58,4.180879779,6.459907407,-0.222222222,6.459907407,15.27042234,0.48503496,2.059155957,0.0,0.0,14.09534397,0.0,0.0,10.63357721,60.27,0.0,0.0,0.0,15.74782733,8.625,0.0,3,4,4,-0.26023,27.0551,0,0,0
58,59,4.387450081,6.611157407,-0.171296296,6.611157407,15.35240576,0.255318571,2.423106903,0.0,0.0,21.14301595,0.0,0.0,5.316788604,51.48,0.0,0.0,0.0,10.43103873,6.09375,0.0,2,4,4,0.08197,31.6824,0,0,0
59,60,4.64785502,10.80314815,-0.710416667,10.80314815,16.26667358,-0.138863168,3.816259302,15.7401046,0.0,13.8474744,6.103966388,14.69560176,10.63357721,78.43,17.91832585,9.589074368,6.9237372,10.63357721,13.3686115,0.0,3,5,5,-1.3805,43.3742,1,1,0
60,61,4.905740835,11.07462963,-1.369312169,11.07462963,16.36826181,-0.419031181,3.882878891,26.05804805,0.0,13.8474744,12.01114612,25.53579663,16.15698348,117.1,30.06413306,14.69560176,13.8474744,11.05045608,21.31183768,-1.946944444,5,6,6,-3.7677,40.9686,1,1,0
61,62,4.297643978,10.64425926,-0.728333333,10.64425926,16.26666889,-0.138617009,3.25559913,15.7401046,0.0,6.9237372,6.103966388,14.69560176,10.63357721,78.43,17.91832585,9.589074368,13.97140918,10.63357721,13.09697184,0.0,3,5,5,-1.7706,38.7572,1,1,0
62,63,4.137229172,10.40916667,-0.26912037,10.40916667,16.16044805,-0.128222638,2.615355072,10.63357721,0.0,0.0,0.0,9.589074368,10.63357721,58.2,0.0,9.589074368,14.09534397,10.63357721,4.660833333,0.0,2,4,4,-1.1315,32.7504,0,0,0
63,64,4.328561331,10.48769322,-0.332034203,10.48769322,16.16669713,0.236387256,3.115355072,21.26715442,0.0,0.0,6.668691189,9.589074368,21.26715442,82.26,0.0,9.589074368,14.09534397,21.26715442,9.421025605,-0.664068405,4,6,6,-1.1981,40.0498,0,0,0
64,65,5.172105298,10.67250378,-1.726898148,10.67250378,16.34602415,-0.144954595,3.335329672,20.846632,0.0,0.0,0.0,19.80212916,10.63357721,98.66,24.02229223,9.589074368,14.09534397,10.63357721,22.12105631,0.0,4,6,6,-2.7998,40.147,2,2,0
65,66,4.841273338,10.52935185,-0.587962963,10.52935185,16.52590634,-0.143474667,2.618322907,15.16017895,0.0,7.047671983,13.71667951,14.63792753,5.316788604,58.56,12.01114612,4.794537184,7.109797541,10.05365156,11.04208333,-0.587962963,2,4,4,-1.2603,31.9495,1,1,0
66,67,4.991501606,10.75782407,-1.377314815,10.75782407,16.54508609,-0.155590333,3.023395961,14.79051451,0.0,0.0,14.21959508,23.85733746,5.316788604,81.7,17.98045141,14.38361155,0.0,9.473725908,1.954351852,-1.377314815,1,6,6,-1.553,37.0197,0,0,0
67,68,4.712310149,10.60361111,-1.241319444,10.60361111,16.54116831,-0.166958111,2.704316941,15.16017895,0.0,0.0,7.109797541,14.63792753,5.316788604,58.56,11.5703561,4.794537184,7.109797541,10.05365156,11.90759259,0.0,2,4,4,-1.5063,29.8355,1,0,0
68,69,5.196487848,10.65861489,-1.678287037,10.65861489,16.54340174,-0.158223344,3.135208987,20.31392078,0.0,0.0,14.21959508,24.16932767,5.733667477,98.85,24.08441779,9.589074368,0.0,9.473725908,8.987361111,-1.400509259,3,6,6,-1.9794,38.0142,1,1,1
69,70,5.179569548,10.65861489,-1.678287037,10.65861489,16.54340174,-0.158223344,3.135208987,20.31392078,0.0,0.0,14.21959508,24.16932767,5.733667477,98.85,24.08441779,9.589074368,0.0,9.473725908,8.987361111,-1.400509259,3,6,6,-1.9794,38.0142,1,1,1
70,71,4.909645076,9.528148148,-1.052962963,9.528148148,16.69517076,-0.279832505,4.26691251,24.79330809,6.9237372,0.0,18.81481474,24.79330809,0.0,79.15,24.60192589,10.21305479,7.109797541,0.0,27.87316043,0.0,3,5,5,-1.2921,43.9334,3,3,0
71,72,4.938041866,9.528148148,-1.052962963,9.528148148,16.69517076,-0.279832505,4.26691251,24.79330809,6.9237372,0.0,18.81481474,24.79330809,0.0,79.15,24.60192589,10.21305479,7.109797541,0.0,27.87316043,0.0,3,5,5,-1.2921,43.9334,3,3,0
72,73,4.940085514,9.528148148,-1.052962963,9.528148148,16.69517076,-0.279832505,4.26691251,24.79330809,6.9237372,0.0,18.81481474,24.79330809,0.0,79.15,24.60192589,10.21305479,7.109797541,0.0,27.87316043,0.0,3,5,5,-1.2921,43.9334,3,3,0
73,74,4.700114815,10.95784061,-1.159583333,10.95784061,16.68733717,-0.246717445,4.085773296,19.6867807,0.0,6.9237372,18.6287544,24.48131788,0.0,75.99,24.41586555,15.00759197,14.03353474,0.0,18.88310185,0.0,2,5,5,-1.0839,42.9336,2,2,0
74,75,5.359638107,10.81439815,-3.52337963,10.81439815,32.22775459,0.59652619,4.822715867,0.0,0.0,0.0,0.0,8.417796984,11.24901029,99.86,21.08626343,18.00687135,0.0,0.0,-0.378472222,0.816203704,2,6,7,-1.5333,40.7932,0,0,0
