EGsmlie2D,E,R,SA
O[C@H]1C2CC([C@@H]1O)[C@@H](O)[C@H]2O,4.981302424,29.49398323,4.946300376
O[C@H]1C=C[C@@H](O)[C@@H](O)[C@H]1O,4.773992984,29.29888953,4.105397065
O[C@H]1C[C@@H](O)[C@H](O)[C@H](O)[C@H]1O,5.136166324,29.72623778,3.675415254
O[C@H]1[C@H](O)[C@H]2O[C@H]3O[C@H]([C@@H]1O)[C@@H]2O3,5.197532371,29.88364248,5.373978392
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)O[C@H]1CF,5.21681509,29.70699462,3.961676047
C=CC(=O)NCC(N)=O,4.983908001,32.38469093,2.394781853
O[C@H]1[C@@H]2CO[C@@H](O2)[C@H](O)[C@@H]1O,4.97606547,29.20023766,4.741926882
NC(=O)c1cc(N)nc(N)n1,4.847735952,37.38385639,2.61636214
CN(C)C(=O)CC(N)=O,5.085399537,31.19785654,2.36069514
C=CC(=O)NC[C@@H](O)CO,4.77474347,30.27043585,2.975314449
CO[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O,4.988243334,28.75727812,3.36143944
CO[C@@H]1O[C@@H](CO)[C@@H](O)[C@H]1O,4.988243334,28.75727812,3.36143944
NC(=O)n1cnc(N)n1,4.923623541,33.65156558,3.177689546
CO[C@@H]1OC[C@H](C(C)=O)[C@@H](O)[C@H]1O,4.701991055,29.35490254,3.902193693
CO[C@@H]1OC[C@@H](C(C)=O)[C@@H](O)[C@H]1O,4.701991055,29.35490254,3.902193693
C[C@@H]1CNC(=O)C(=O)N1,5.284783166,31.41559319,3.634642617
CO[C@@H]1[C@@H](O)[C@@H](O)[C@@H](O)O[C@@H]1CO,5.181383837,29.27916592,3.752014332
C=CC(=O)NC[C@H](O)CO,4.77474347,30.27043585,2.975314449
CO[C@@H]1[C@H](CO)O[C@H](O)[C@H](O)[C@@H]1O,5.181383837,29.27916592,3.752014332
C[NH+](C)[C@@H](CC(N)=O)C(=O)[O-],5.787508907,32.54686333,5.196195715
C[C@H]1CNC(=O)C(=O)N1,5.284783166,31.41559319,3.634642617
OC[C@@H]1COC[C@@H](CO)O1,5.017122566,28.47253807,3.599771873
CO[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,5.208369319,29.27771713,3.505332884
C[C@H](O)CNC(=O)[C@H](C)O,4.464212723,29.78375,3.058222489
Cc1[nH]c(=O)[nH]c(=O)c1NCCO,4.94183824,34.08339812,2.665067882
Cc1nn(CCO)c(N)c1C(N)=O,5.066179216,34.82640595,2.534670972
CC1(CCO)C(=O)NC(=O)NC1=O,5.257997741,32.0608653,2.952002193
C[C@@]1(O)C(=O)NC(=O)N[C@@H]1O,5.031290774,32.41983773,4.00372537
C[C@@]1(O)C(=O)NC(=O)N[C@H]1O,5.031290774,32.41983773,4.00372537
C[C@]1(O)C(=O)NC(=O)N[C@H]1O,5.031290774,32.41983773,4.00372537
CO[C@@H]1[C@H](O)[C@H](O)O[C@@H](C)[C@H]1O,4.951941025,29.12362958,3.866150985
