EGsmlie2D,E,R,SA
C[NH+](C)C[C@@H](N)C(=O)[O-],6.16,31.15,5.87
CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,5.08,30.07,3.97
CNC(=O)[C@@H](N)CO,5.1,32.45,2.74
CNC(=O)[C@H](N)CO,5.11,32.17,2.74
C[N@@H+](CCN)CC(=O)[O-],5.28,31.38,6.03
CN1C[C@H](N)C(=O)N1,5.31,32.92,4.27
CNC1(CO)COC1,4.94,29.69,3.24
C[C@H]1CNC[C@@H](C(N)=O)O1,5.38,32.09,3.84
C[C@H]1CNC[C@H](C(N)=O)O1,5.35,32.22,3.84
CN1C[C@H](O)[C@H](O)[C@@H](O)[C@H]1CO,5.03,29.87,3.97
OC1(c2cn[nH]n2)CNC1,5.43,29.64,3.78
CC(C)C[C@@H](NC(=O)CN)C(N)=O,5.4,34.23,2.53
OCCN1CCN(CCO)CC1,4.97,27.59,1.9
O[C@H]1CNCCO1,4.64,28.06,3.76
CC(=O)NCCN[C@@H]1CC(=O)NC1=O,5.44,31.51,2.9
CNC(=O)NC[C@H]1COCCN1,4.72,31.75,3.24
CNC1(C(N)=O)CNC1,4.98,32.01,3.24
OCCNC1COC1,4.75,27.99,2.61
COCCN[C@@H]1CC(=O)NC1=O,5.41,29.22,2.91
CC(=O)NCCN[C@H]1CC(=O)NC1=O,5.44,31.91,2.9
CC(=O)NCSC[C@H](N)C(N)=O,5.21,34.49,3.28
CC(=O)N[C@@H](Cc1cnc[nH]1)C(N)=O,4.55,35.25,2.72
CNC(=O)CCNC(=O)CN(C)C,4.3,31.16,2
CC(=O)N[C@H](Cc1cnc[nH]1)C(N)=O,4.83,35.73,2.72
C[NH2+][C@@H](CN)C(=O)[O-],5.41,34.68,5.91
COC(=O)C1(N)CNC1,4.76,29.55,3.09
COCCN[C@H]1CC(=O)NC1=O,5.47,30,2.91
COC[C@@H](N)C(N)=O,5.22,32.95,2.86
COC[C@H](N)C(N)=O,5.19,32.48,2.86
C[C@@H](NC(=O)CN)C(N)=O,4.64,35.39,2.59
C[C@@H](O)[C@@H](N)C(N)=O,5.4,34.01,3.33
C[C@@]1(C(=O)NCCO)CNCCO1,5.05,29.92,3.49
C[C@@H](O)[C@H](N)C(N)=O,5.4,34.3,3.33
Cn1c(CN)n[nH]c1=O,5.3,35.05,2.87
NC(=O)[C@H](N)CO,5.11,32.69,2.97
NC(=O)[C@@H](N)CO,5.08,33.16,2.97
NC(=O)C(=O)N1CCNCC1,4.77,30.87,2.39
NC(=O)CCN1CCN(C=O)CC1,5.58,29.83,2.38
NC(=O)CN1CCC[C@H](C(N)=O)C1,5.18,31.87,2.5
NC(=O)C[C@@H]1COCCN1,4.42,30.23,3.27
NC(=O)C[C@H]1COCCN1,4.35,29.57,3.27
NC(=O)[C@@H]1Cc2nc[nH]c2CN1,5.28,34.42,3.74
NC(=O)[C@@H]1CNCCC1=O,4.74,31.84,3.3
NC(=O)[C@@H]1CNCCO1,4.5,30.44,3.19
NC(=O)[C@H]1CNCCO1,4.51,30.3,3.19
NC(=O)[C@]1(N)CCOC1,4.82,29.62,3.5
NC(=O)[C@H]1Cc2nc[nH]c2CN1,5.32,34.09,3.74
NCc1nc(N)nc(N)n1,4.81,39.09,2.61
N[C@@H]1CC[NH2+][C@@H]1C(=O)[O-],5.75,32.38,6.22
N[C@@H]1C[NH2+][C@H](C(=O)[O-])C1,6.02,32.01,6.25
N[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,5.15,30.81,4.16
CNC(=O)NC[C@@H]1COCCN1,4.75,30.62,3.24
NC(=O)c1nc[nH]n1,4.86,32.59,3.77
NC(=O)c1nc(N)nc2c1CNCC2,4.7,34.7,2.93
CNC(=O)[C@@H](N)[C@@H](C)O,4.33,32.66,3.06
