,index,Water_all_overlap_factor_100,Chi0n,Chi2n,Chi3n,HallKierAlpha,PEOE_VSA4,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA2,TPSA,VSA_EState4,NHOHCount,fr_Al_OH,fr_NH2,fr_ether
84,85,32.6241186,6.713410351,3.548258647,2.94469722,-1.2,0.0,17.67848236,0.0,5.84267027,29.03120476,72.63,0.0,2,0,1,1
85,86,29.7238138,6.511708698,2.974096319,1.917883492,-1.46,0.0,0.0,35.97884509,9.799819462,46.57375286,57.58,0.0,0,0,0,0
86,87,32.6210427,4.910174726,1.995031937,1.389563801,-0.97,0.0,0.0,6.544756406,5.316788604,26.75201134,55.63,0.0,1,0,0,0
87,88,30.1997728,3.621320344,1.280330086,0.75,-0.12,0.0,0.0,20.00607357,15.95036581,20.00607357,36.09,0.0,3,0,0,0
88,89,31.3879275,5.991922326,2.505524653,1.794510801,-1.86,0.0,0.0,0.0,0.0,40.41450987,87.2,0.0,0,0,0,0
89,90,29.2233917,5.832624277,2.411821981,1.439142473,-0.61,0.0,0.0,13.21376393,5.316788604,36.37327827,58.56,0.0,2,1,0,1
90,91,31.2304693,7.72743163,3.329162833,2.109159456,-0.65,0.0,0.0,0.0,5.316788604,40.66003485,78.79,0.0,3,2,0,1
91,92,28.7669637,7.395573106,3.470262402,2.415935739,-0.65,0.0,0.0,13.21376393,5.316788604,48.58121105,67.79,0.0,2,1,0,2
92,93,30.4342836,7.442014077,3.436207554,2.597175093,-1.72,0.0,11.83581209,7.047671983,5.316788604,35.57630063,83.55,0.0,1,0,0,0
93,94,29.5646291,7.442014077,3.436207554,2.597175093,-1.72,0.0,11.83581209,7.047671983,5.316788604,35.57630063,83.55,0.0,1,0,0,0
94,95,29.5410086,4.46296113,1.444697282,0.723142037,-0.12,0.0,0.0,26.9301271,0.0,42.04309162,43.7,0.0,2,2,0,0
95,96,32.089926,4.217269206,1.825253373,1.163978387,-0.57,0.0,5.733667477,13.59242839,5.733667477,30.44135868,46.33,5.221203704,2,0,1,0
96,97,28.7013397,6.973503716,3.728272666,3.058220455,-0.45,0.0,0.0,7.047671983,0.0,52.23549588,60.77,0.0,2,2,0,0
97,98,33.1078623,4.703067944,1.53461572,0.87953669,-0.94,0.0,0.0,0.0,0.0,25.39439693,82.03,0.0,3,2,0,0
98,99,32.5018106,6.015167194,2.620343049,1.683025819,-0.61,0.0,5.733667477,19.69639478,11.05045608,31.20462532,64.35,4.304097222,3,0,1,1
99,100,32.1346147,6.213990692,2.777594198,1.889155426,-0.2,0.0,5.733667477,0.0,5.733667477,45.96334891,95.94,5.277962963,5,3,1,1
100,101,36.9376933,2.95737602,0.67934601,0.245833316,-0.52,5.480096598,10.91054941,0.0,11.21376408,11.49696342,87.71,6.045138889,4,0,1,0
101,102,31.9941325,6.213990692,2.777594198,1.889155426,-0.2,0.0,5.733667477,0.0,5.733667477,45.96334891,95.94,5.277962963,5,3,1,1
102,103,30.1035321,5.092517463,1.972435495,1.179810126,-0.61,0.0,5.733667477,19.75852033,11.05045608,31.70754089,64.35,5.341203704,3,0,1,1
103,104,30.3947549,5.092517463,1.972435495,1.179810126,-0.61,0.0,5.733667477,19.75852033,11.05045608,31.70754089,64.35,5.341203704,3,0,1,1
104,105,29.9013791,6.012469021,2.745848167,1.942262415,-0.2,0.0,0.0,13.15163837,5.316788604,57.93148794,92.95,0.0,5,4,0,0
105,106,31.3749526,6.368311069,2.8062071,1.948612922,-0.24,0.0,5.733667477,6.606881965,5.733667477,57.67675827,116.17,5.262470711,6,4,1,1
106,107,31.4876266,6.368311069,2.8062071,1.948612922,-0.24,0.0,5.733667477,6.606881965,5.733667477,57.67675827,116.17,5.262470711,6,4,1,1
107,108,31.9103915,4.294619475,1.838282678,1.202716372,-0.61,0.0,5.733667477,6.544756406,11.05045608,29.70427075,75.35,5.159722222,4,1,1,0
108,109,32.0136019,5.587512694,1.880637615,1.068867722,-0.61,0.0,5.733667477,7.047671983,11.05045608,30.20718632,75.35,5.208472222,4,1,1,0
109,110,33.4276655,6.202867765,2.123774369,1.218041093,-1.85,0.0,5.733667477,0.0,11.05045608,21.7823165,100.87,5.411220238,4,0,1,0
110,111,32.3229371,5.092517463,2.498261254,1.305332031,-0.61,0.0,11.46733495,13.21376393,11.46733495,24.65986891,78.34,10.03891204,4,0,2,1
111,112,34.9126664,4.664482801,1.607864023,0.82269212,-1.39,0.0,5.733667477,0.0,5.733667477,21.31792844,84.66,5.434814815,3,0,1,0
112,113,29.4583312,7.03129489,2.92184261,1.924050981,-0.65,0.0,11.46733495,32.84803315,11.46733495,49.69696344,81.58,10.52158518,4,0,2,1
113,114,32.1371421,5.04011122,2.321726157,1.654036137,-0.61,0.0,5.733667477,6.544756406,16.15698348,24.59774335,82.76,5.427824074,4,0,2,0
114,115,31.3115094,5.04011122,2.349462932,1.679007789,-0.61,0.0,11.65157352,13.08951281,16.15698348,25.10065893,82.76,5.427824074,4,0,2,0
115,116,30.7866446,5.343747204,2.346481568,1.540174021,-0.2,0.0,5.733667477,6.606881965,5.733667477,46.46626448,95.94,5.187546296,5,3,1,1
116,117,34.8519171,6.868311069,2.965343888,2.103353966,-0.28,5.480096598,5.733667477,6.606881965,11.21376408,57.71535834,128.2,7.140711451,7,3,1,1
117,118,34.5745645,6.868311069,2.965343888,2.103353966,-0.28,5.480096598,5.733667477,6.606881965,11.21376408,57.71535834,128.2,7.140711451,7,3,1,1
118,119,34.5739309,6.868311069,2.965343888,2.103353966,-0.28,5.480096598,5.733667477,6.606881965,11.21376408,57.71535834,128.2,7.140711451,7,3,1,1
119,120,32.1354293,5.04011122,2.321726157,1.654036137,-0.61,0.0,5.733667477,6.544756406,16.15698348,24.59774335,82.76,5.427824074,4,0,2,0
120,121,32.6067532,5.04011122,2.321726157,1.654036137,-0.61,0.0,5.733667477,6.544756406,16.15698348,24.59774335,82.76,5.427824074,4,0,2,0
121,122,32.4619018,5.04011122,2.392715103,1.582782745,-0.61,0.0,5.733667477,6.544756406,16.15698348,24.59774335,82.76,5.440555556,4,0,2,0
122,123,31.2641305,5.04011122,2.349462932,1.679007789,-0.61,0.0,11.65157352,13.08951281,16.15698348,25.10065893,82.76,5.427824074,4,0,2,0
123,124,30.9014393,5.04011122,2.349462932,1.679007789,-0.61,0.0,11.65157352,13.08951281,16.15698348,25.10065893,82.76,5.427824074,4,0,2,0
124,125,30.9372534,5.343747204,2.346481568,1.540174021,-0.2,0.0,5.733667477,6.606881965,5.733667477,46.46626448,95.94,5.187546296,5,3,1,1
125,126,32.2805807,4.054132499,1.216406078,0.618313067,-0.41,0.0,5.733667477,13.15163837,5.733667477,24.04141071,63.32,4.897453704,3,1,1,0
126,127,36.0001415,5.500765753,1.962882444,1.035074775,-0.94,0.0,5.733667477,6.544756406,16.57386235,24.33914747,110.86,8.116856576,5,0,1,0
127,128,36.3676996,5.500765753,1.962882444,1.035074775,-0.94,0.0,5.733667477,6.544756406,16.57386235,24.33914747,110.86,8.116856576,5,0,1,0
128,129,31.8500465,5.587512694,1.880637615,1.068867722,-0.61,0.0,5.733667477,7.047671983,11.05045608,30.20718632,75.35,5.208472222,4,1,1,0
129,130,27.1189288,7.608845338,3.440281792,2.275593989,-0.16,0.0,0.0,46.37833598,0.0,72.49517662,46.94,0.0,2,2,0,0
130,131,32.4447204,6.015167194,2.620343049,1.683025819,-0.61,0.0,5.733667477,19.69639478,11.05045608,31.20462532,64.35,4.304097222,3,0,1,1
131,132,27.5882451,7.608845338,3.440281792,2.275593989,-0.16,0.0,0.0,46.37833598,0.0,72.49517662,46.94,0.0,2,2,0,0
132,133,28.8578704,6.973503716,3.728272666,3.058220455,-0.45,0.0,0.0,7.047671983,0.0,52.23549588,60.77,0.0,2,2,0,0
133,134,31.1728474,7.092137301,2.306522741,1.159979734,-1.1,0.0,0.0,19.69639478,10.63357721,36.61728163,78.43,0.0,3,1,0,0
134,135,33.3619323,6.86562431,2.29072219,1.001363575,-1.14,0.0,0.0,0.0,10.63357721,34.48321659,98.66,0.0,4,2,0,0
135,136,32.8944487,6.86562431,2.29072219,1.001363575,-1.14,0.0,0.0,0.0,10.63357721,34.48321659,98.66,0.0,4,2,0,0
136,137,33.9651453,5.471197119,1.824580549,0.846546179,-1.06,0.0,5.733667477,0.0,11.05045608,17.85620029,72.19,4.830601852,3,0,1,0
137,138,33.3370962,6.86562431,2.29072219,1.001363575,-1.14,0.0,0.0,0.0,10.63357721,34.48321659,98.66,0.0,4,2,0,0
138,139,31.1227933,7.94855969,3.563865799,1.807121003,-0.65,0.0,5.414990469,19.75852033,5.316788604,47.08924864,89.79,-0.861568405,4,3,0,0
139,140,30.9773476,7.94855969,3.563865799,1.807121003,-0.65,0.0,5.414990469,19.75852033,5.316788604,47.08924864,89.79,-0.861568405,4,3,0,0
140,141,28.0471645,7.346065215,2.108154351,1.135305915,-1.1,0.0,0.0,26.80619232,10.63357721,38.62055178,67.43,0.0,2,0,0,1
141,142,30.015373,6.38503052,1.838961869,0.940923096,-1.1,0.0,0.0,19.69639478,10.63357721,36.61728163,78.43,0.0,3,1,0,0
142,143,28.4025761,4.816496581,1.15824829,0.660352885,-1.06,0.0,0.0,14.09534397,10.63357721,25.90970342,58.2,0.0,2,0,0,0
143,144,30.953057,6.79327881,2.54679847,1.735397476,-1.39,0.0,0.0,13.59242839,5.316788604,36.21387731,66.48,0.0,1,0,0,0
144,145,32.2385836,4.769675448,1.229507638,0.624422603,-0.77,0.0,0.0,20.19931035,10.63357721,31.33695226,61.36,0.0,3,1,0,0
145,146,30.4836773,5.7876937,1.523990379,0.910236714,-1.1,0.0,5.733667477,14.21959508,5.733667477,32.20004649,78.62,5.032685185,2,0,1,2
146,147,28.9182672,6.340099943,2.242046724,1.598044323,-1.1,0.0,0.0,20.76435149,5.316788604,38.24188732,74.54,-1.204861111,1,0,0,2
147,148,28.6390369,6.988455048,2.215936453,1.604198072,-1.14,0.0,0.0,21.26726707,0.0,43.99408096,68.14,-1.663194444,0,0,0,2
148,149,30.3145244,5.216308703,2.140520152,1.311174195,-0.61,0.0,5.733667477,20.32356147,5.733667477,31.83179201,61.55,4.604884259,2,0,1,2
149,150,32.2959488,5.495760984,1.789546584,0.993068643,-0.61,0.0,5.733667477,7.109797541,5.733667477,30.33143744,72.55,5.145972222,3,1,1,1
150,151,32.7280723,5.495760984,1.789546584,0.993068643,-0.61,0.0,5.733667477,7.109797541,5.733667477,30.33143744,72.55,5.145972222,3,1,1,1
151,152,29.9445206,6.682120891,1.935994098,1.184424163,-1.14,0.0,0.0,14.21959508,0.0,48.57919322,93.06,0.0,2,2,0,2
152,153,32.4324217,5.495760984,1.789546584,0.993068643,-0.61,0.0,5.733667477,7.109797541,5.733667477,30.33143744,72.55,5.145972222,3,1,1,1
153,154,32.571252,5.495760984,1.789546584,0.993068643,-0.61,0.0,5.733667477,7.109797541,5.733667477,30.33143744,72.55,5.145972222,3,1,1,1
154,155,29.988725,7.862192911,3.042633422,2.062533984,-0.65,0.0,5.733667477,39.95783069,5.733667477,56.86888654,64.79,5.601546674,2,0,1,2
155,156,33.4200105,6.739912065,2.644230602,1.710106335,-0.62,0.0,0.0,25.16026116,5.316788604,45.58920426,72.47,0.0,1,0,0,1
156,157,29.4464056,7.421847544,2.030376843,1.214824622,-2.12,0.0,0.0,14.21959508,0.0,46.55293289,104.16,0.0,0,0,0,2
157,158,27.9246563,6.428573139,2.325453401,1.640473867,-0.2,0.0,0.0,14.21959508,0.0,49.22063611,68.15,0.0,2,2,0,3
158,159,27.8135498,6.428573139,2.325453401,1.640473867,-0.2,0.0,0.0,14.21959508,0.0,49.22063611,68.15,0.0,2,2,0,3
159,160,28.0743187,6.428573139,2.325453401,1.640473867,-0.2,0.0,0.0,14.21959508,0.0,49.22063611,68.15,0.0,2,2,0,3
160,161,28.2566365,6.428573139,2.325453401,1.640473867,-0.2,0.0,0.0,14.21959508,0.0,49.22063611,68.15,0.0,2,2,0,3
161,162,37.4133403,3.171958467,0.86345262,0.165822692,-0.13,0.0,0.0,6.255769184,4.885402859,19.88081919,66.4,0.0,2,0,0,0
162,163,30.2421238,5.294239313,1.690607732,0.790477303,-0.61,0.0,0.0,13.15163837,5.316788604,35.37583928,69.56,0.0,3,2,0,0
163,164,31.8465061,5.523603362,1.582915944,0.776729726,-1.06,0.0,0.0,13.59242839,10.63357721,25.40678785,58.2,0.0,2,0,0,0
164,165,34.7004315,5.072731091,1.73924777,0.927535983,-1.59,0.0,5.733667477,5.733667477,11.46733495,16.22050624,108.03,10.34703704,4,0,2,0
165,166,34.6883364,4.664482801,1.558419038,0.797258272,-1.39,5.098681808,5.733667477,0.0,5.733667477,21.08852187,84.66,4.850833333,3,0,1,0
166,167,35.8901847,4.048167227,1.070540988,0.406225868,-1.1,0.0,5.733667477,6.606881965,11.05045608,23.6517036,92.42,4.486944444,4,1,1,0
167,168,29.4055983,7.083701133,2.745040688,1.830966874,-0.81,0.0,5.733667477,39.39278955,11.05045608,50.3238138,67.59,4.914810878,3,0,1,1
168,169,32.7469311,3.847025718,1.014634263,0.411034255,-0.77,0.0,5.733667477,13.15163837,11.05045608,24.28928028,75.35,4.617361111,4,1,1,0
169,170,31.5306214,5.94855969,2.243922505,1.296356081,-0.85,0.0,5.733667477,19.82064589,11.05045608,46.71026784,115.81,3.31099537,6,3,1,0
170,171,34.5856655,4.977162391,1.84984933,1.108519891,-0.81,0.0,5.733667477,13.08951281,21.68403329,25.41033772,79.18,4.842222222,5,0,1,0
171,172,34.4165391,5.54011122,2.619838679,1.706463639,-1.06,0.0,23.30314705,0.0,11.46733495,11.81435946,86.18,9.877592593,4,0,2,0
172,173,34.3571758,5.995380822,1.794971216,1.072861652,-1.43,4.983978521,5.733667477,7.047671983,11.05045608,23.09549349,94.04,5.176795163,3,0,1,0
173,174,29.2329175,3.1783039,1.224344202,0.650671701,-0.57,0.0,5.733667477,6.606881965,5.733667477,18.61802808,55.62,4.733796296,2,0,1,1
174,175,28.9564303,5.617081328,2.470875984,1.702934239,-0.61,0.0,11.65157352,13.21376393,5.733667477,30.33143744,72.55,4.871296296,3,1,1,1
175,176,29.5392588,5.617081328,2.470875984,1.702934239,-0.61,0.0,11.65157352,13.21376393,5.733667477,30.33143744,72.55,4.871296296,3,1,1,1
176,177,29.3496486,5.617081328,2.470875984,1.702934239,-0.61,0.0,11.65157352,13.21376393,5.733667477,30.33143744,72.55,4.871296296,3,1,1,1
