,index,Water_all_overlap_factor_100,Chi0n,Chi0v,Chi1n,Chi1v,Chi2n,Chi3n,Chi3v,Chi4n,HallKierAlpha,PEOE_VSA3,PEOE_VSA4,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA2,TPSA,VSA_EState4,NHOHCount,NumAliphaticRings,NumHeteroatoms,NumSaturatedRings,fr_Al_OH,fr_Al_OH_noTert,fr_NH1,fr_NH2,fr_ether
172,173,34.3571758,5.995380822,5.995380822,3.023444551,3.023444551,1.794971216,1.072861652,1.072861652,0.541807331,-1.43,0.0,4.983978521,5.733667477,7.047671983,11.05045608,23.09549349,94.04,5.176795163,3,0,6,0,0,0,1,1,0
173,174,29.2329175,3.1783039,3.1783039,1.7141001,1.7141001,1.224344202,0.650671701,0.650671701,0.212378949,-0.57,0.0,0.0,5.733667477,6.606881965,5.733667477,18.61802808,55.62,4.733796296,2,1,3,1,0,0,0,1,1
174,175,28.9564303,5.617081328,5.617081328,3.266853488,3.266853488,2.470875984,1.702934239,1.702934239,1.034071842,-0.61,0.0,0.0,11.65157352,13.21376393,5.733667477,30.33143744,72.55,4.871296296,3,1,4,1,1,1,0,1,1
175,176,29.5392588,5.617081328,5.617081328,3.266853488,3.266853488,2.470875984,1.702934239,1.702934239,1.034071842,-0.61,0.0,0.0,11.65157352,13.21376393,5.733667477,30.33143744,72.55,4.871296296,3,1,4,1,1,1,0,1,1
176,177,29.3496486,5.617081328,5.617081328,3.266853488,3.266853488,2.470875984,1.702934239,1.702934239,1.034071842,-0.61,0.0,0.0,11.65157352,13.21376393,5.733667477,30.33143744,72.55,4.871296296,3,1,4,1,1,1,0,1,1
177,178,31.7947323,4.885410682,4.885410682,2.786075375,2.786075375,2.061143822,1.33873663,1.33873663,0.8274871,-1.06,0.0,0.0,5.733667477,0.0,11.05045608,17.85620029,72.19,4.906296296,3,1,4,1,0,0,1,1,0
178,179,30.5089232,5.092517463,5.092517463,2.909301499,2.909301499,1.983993887,1.265098006,1.265098006,0.748160679,-0.61,0.0,0.0,5.733667477,19.75852033,11.05045608,31.70754089,64.35,4.985740741,3,1,4,1,0,0,1,1,1
179,180,28.4976682,3.1783039,3.1783039,1.7141001,1.7141001,1.224344202,0.650671701,0.650671701,0.212378949,-0.57,0.0,0.0,5.733667477,6.606881965,5.733667477,18.61802808,55.62,4.733796296,2,1,3,1,0,0,0,1,1
180,181,33.4157691,4.048167227,4.048167227,2.059835135,2.059835135,1.481230296,0.821163832,0.821163832,0.457117782,-1.1,10.63720745,0.0,5.84267027,6.544756406,11.15945887,23.49196317,75.43,0.0,3,1,5,1,0,0,1,1,0
181,182,33.5276614,4.703067944,4.703067944,2.727927174,2.727927174,1.749186213,1.139193399,1.139193399,0.739934572,-1.33,0.0,0.0,0.0,23.83209281,10.74258,33.40577054,67.66,2.960648148,2,1,6,0,0,0,2,0,0
182,183,30.6238986,6.655666471,6.655666471,3.41039104,3.41039104,2.44804665,1.481751487,1.481751487,0.580962733,-0.91,0.0,0.0,0.0,19.82064589,5.316788604,46.58633306,89.79,-1.35587963,4,0,5,0,3,3,1,0,0
183,184,35.6022219,5.481559723,5.481559723,2.709794032,2.709794032,1.896748553,0.932030041,0.932030041,0.535078482,-1.46,4.681802935,0.0,0.0,5.733667477,5.733667477,25.99049988,86.69,5.263472222,2,0,6,0,0,0,0,1,0
184,185,35.4617695,7.802095141,7.802095141,3.728397839,3.728397839,2.534584057,1.042802099,1.042802099,0.718042573,-1.59,0.0,0.0,0.0,0.0,15.95036581,24.01124958,87.3,0.0,3,0,6,0,0,0,3,0,0
